# Batch 8 Formatted Database Entries
# Session 15 - 25 exercises (Lines 226-250)
# Note: Steps/cues/references condensed - full details in research file

1. Dumbbell Lateral Raise | Deltoideus (lateral/middle head) | Deltoideus (anterior head), trapezius (upper fibers), supraspinatus | Isolation | Dumbbells | Beginner to Intermediate | Upper | Isolation | Free Weight
2. Front Plate Raise | Deltoideus (anterior head - clavicular portion) | Deltoideus (lateral head), pectoralis major (clavicular head), serratus anterior, trapezius (upper fibers) | Isolation | Weight plate | Beginner to Intermediate | Upper | Isolation | Free Weight
3. Kneeling Single-Arm Cable Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor | Isolation | Cable machine with D-handle | Intermediate | Upper | Isolation | Cables
4. Lying Dumbbell External Rotation | Infraspinatus, teres minor | Posterior deltoid, supraspinatus, subscapularis (stabilizer) | Isolation | Dumbbell, flat bench or mat | Beginner to Intermediate | Upper | Isolation | Free Weight
5. Lying Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Dumbbells, incline bench | Beginner to Intermediate | Upper | Isolation | Free Weight
6. Lying Single-Arm Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Dumbbell, incline bench | Intermediate | Upper | Isolation | Free Weight
7. Pec Deck Rear Delt Extensions | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor | Isolation | Pec deck machine (reverse) | Beginner | Upper | Isolation | Machine
8. Reverse Incline Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Dumbbells, incline bench | Intermediate | Upper | Isolation | Free Weight
9. Seated Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Dumbbells, flat bench | Intermediate | Upper | Isolation | Free Weight
10. Single-Arm Cable Lateral Raise | Deltoideus (lateral/middle head) | Deltoideus (anterior head), trapezius (upper fibers), supraspinatus, core stabilizers | Isolation | Cable machine with D-handle | Intermediate | Upper | Isolation | Cables
11. Cable External Rotation | Infraspinatus, teres minor | Posterior deltoid, supraspinatus | Isolation | Cable machine with D-handle | Beginner to Intermediate | Upper | Isolation | Cables
12. Close-Grip Bench Press | Triceps brachii (lateral head, medial head), pectoralis major | Anterior deltoid, triceps brachii (long head) | Compound | Barbell, bench, squat rack | Intermediate | Upper | Push | Free Weight
13. Forward Lean Dips | Triceps brachii (all three heads), pectoralis major (sternal head) | Anterior deltoid, trapezius, rhomboids, core stabilizers | Compound | Parallel bars or dip station | Intermediate to Advanced | Upper | Push | Bodyweight
14. Assisted Dips | Triceps brachii (all three heads), pectoralis major | Anterior deltoid, trapezius, rhomboids | Compound | Assisted dip machine | Beginner | Upper | Push | Machine
15. Bench Dips | Triceps brachii (all three heads) | Anterior deltoid, pectoralis major | Compound | Flat bench | Beginner | Upper | Push | Bodyweight
16. Diamond Push-Up | Triceps brachii (all three heads - medial, lateral, long) | Pectoralis major, anterior deltoid, core stabilizers | Compound | Bodyweight, exercise mat (optional) | Intermediate | Upper | Push | Bodyweight
17. Dips | Triceps brachii (all three heads), pectoralis major | Anterior deltoid, trapezius, rhomboids, core stabilizers | Compound | Parallel bars or dip station | Intermediate to Advanced | Upper | Push | Bodyweight
18. Machine Dips | Triceps brachii (all three heads), pectoralis major | Anterior deltoid | Compound | Dip machine (plate-loaded or selectorized) | Beginner to Intermediate | Upper | Push | Machine
19. Decline Dumbbell Triceps Extension | Triceps brachii (long head emphasis, lateral head, medial head) | Anconeus, core stabilizers | Isolation | Decline bench, dumbbells | Intermediate to Advanced | Upper | Extension | Free Weight
20. Decline EZ-Bar Tricep Extension | Triceps brachii (long head emphasis, lateral head, medial head) | Anconeus, core stabilizers | Isolation | Decline bench, EZ-bar | Intermediate to Advanced | Upper | Extension | Free Weight
21. Decline Single Dumbbell Triceps Extension | Triceps brachii (long head emphasis, lateral head, medial head) | Anconeus, core stabilizers | Isolation | Decline bench, dumbbell | Intermediate to Advanced | Upper | Extension | Free Weight
22. Decline Single-Arm Dumbbell Triceps Extension | Triceps brachii (long head emphasis, lateral head, medial head) | Anconeus, core stabilizers | Isolation | Decline bench, dumbbell | Intermediate to Advanced | Upper | Extension | Free Weight
23. Dumbbell Kickback | Triceps brachii (long head emphasis, lateral head, medial head) | Posterior deltoid, core stabilizers, erector spinae | Isolation | Dumbbells, flat bench (optional) | Beginner to Intermediate | Upper | Extension | Free Weight
24. Incline EZ-Bar Tricep Extension | Triceps brachii (long head emphasis, lateral head, medial head) | Anconeus, anterior deltoid (stabilizer), core stabilizers | Isolation | Incline bench, EZ-bar | Intermediate | Upper | Extension | Free Weight
25. Kneeling Cable Triceps Extension | Triceps brachii (long head emphasis, lateral head, medial head) | Core stabilizers (rectus abdominis, obliques), latissimus dorsi (stabilizer) | Isolation | Cable machine with rope or straight bar | Beginner to Intermediate | Upper | Extension | Cables
